,Crime_ID,Month,Reported_by,Falls_within,Longitude,Latitude,Location,LSOA_code,LSOA_name,Crime_type,Last_outcome_category,Context,geometry
485,3eff0e1247dbdd9c3b02722ff3e528a31264d40f0baa3ac15f8bd184ab70ac13,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.111471,51.551258000000004,On or near Further/Higher Educational Building,E01000023,Barking and Dagenham 008C,Burglary,Under investigation,,POINT (12408.89495821791 6719390.315589037)
532,da5496694f927f1394146222106f28ad8fca99d7c8e5f642dadac897a257d544,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.126604,51.550670000000004,On or near Martin Road,E01000077,Barking and Dagenham 008F,Burglary,Under investigation,,POINT (14093.49281239147 6719285.050330859)
554,3c2ecc5305f9459aa4a5116701d2a5a2d45a7ae2af93c53ff8d502f852f0b23f,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.15198699999999998,51.549065,On or near Croppath Road,E01000016,Barking and Dagenham 009B,Burglary,Awaiting court outcome,,POINT (16919.11544719843 6718997.726066784)
565,016076766f24f81c4acba11dec7bf54a09b0960c2642f3b7209e51daed436a80,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.145137,51.550629,On or near Northfield Road,E01000017,Barking and Dagenham 009C,Burglary,Under investigation,,POINT (16156.57693526316 6719277.710457136)
616,89f395338ec3ec35ec3f1542df74e821d71d1f3f1dd8467aeffbecf6efbfc2cc,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.16433,51.545942,On or near Durham Road,E01000036,Barking and Dagenham 010B,Burglary,Under investigation,,POINT (18293.13192206001 6718438.681173972)
629,4ecc3ca97c124bd2ef238018d8e6aa27fe71f93deaf4f321aca94fe311b36e1e,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.174585,51.542002000000004,On or near Auriel Avenue,E01000107,Barking and Dagenham 010C,Burglary,Under investigation,,POINT (19434.7133001439 6717733.440723022)
630,36466613c17c65d191e334b0fc57bca40829ca0d9f3c21239ba020e728413fb1,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.168596,51.539190999999995,On or near Dagmar Road,E01000107,Barking and Dagenham 010C,Burglary,Under investigation,,POINT (18768.0208697839 6717230.322991588)
641,7994738730ead225e073ca3a830244cb378177062e485373a19025142638a79b,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.168262,51.542190999999995,On or near Mayswood Gardens,E01000108,Barking and Dagenham 010D,Burglary,Under investigation,,POINT (18730.84015985639 6717767.269390945)
657,a79287f7b5b902667c01a932c8d58798d66e89e4dc66a33ca45c08f33e987104,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.10341800000000001,51.54553,On or near Woodbridge Road,E01000066,Barking and Dagenham 011A,Burglary,Under investigation,,POINT (11512.43909885849 6718364.932359243)
658,7d2c543cf3c672cc431e66ab65bbd2c79f54f73de1354555fb3bbf1111c3dbad,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.10791500000000001,51.546718,On or near Southwold Drive,E01000066,Barking and Dagenham 011A,Burglary,Under investigation,,POINT (12013.04284895535 6718577.588521938)
659,0053f3238f24cf30642212f89a116b077443e6f09dc3be8e5bee10a8768cb9d3,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.10561400000000001,51.547181,On or near Bradfield Drive,E01000066,Barking and Dagenham 011A,Burglary,Under investigation,,POINT (11756.89670064124 6718660.46864796)
683,01c4d5af5117628fc1ff8e827571f2b7ebeb7174cdfc9523d49b0c622252522a,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.101482,51.542642,On or near Further/Higher Educational Building,E01000069,Barking and Dagenham 011C,Burglary,Under investigation,,POINT (11296.92456468314 6717847.993393702)
687,0b864b99496061231234bf96f30906fa7dc71c35e18748143d9cdd88292c989d,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.097799,51.545982,On or near Brockdish Avenue,E01000070,Barking and Dagenham 011D,Burglary,Under investigation,,POINT (10886.93488009058 6718445.841288636)
